wind,solar,electric,cooling,heating,temperature,day_cos,day_sin,hour_cos,hour_sin,mean,std
8.96,806.78,282609.2458,97784.52707,137328.3223,11.0,0.2595117970697999,0.9657399376548549,-0.9659258262890682,0.258819045102521,86424.80586166667,112671.2353154703
8.17,801.6,287591.4705,91217.96215,131852.9815,10.0,0.2595117970697999,0.9657399376548549,-1.0,1.2246467991473532e-16,85247.03069166666,113853.48877607897
7.8,722.17,287458.0404,101988.0813,117570.1888,11.0,0.2595117970697999,0.9657399376548549,-0.9659258262890683,-0.2588190451025208,84626.21341666667,113037.50593517242
7.95,562.08,288471.8865,95919.82877,120168.2978,11.0,0.2595117970697999,0.9657399376548549,-0.8660254037844388,-0.4999999999999997,84190.17384500001,113427.92119589027
8.09,381.48,293403.3901,105022.1646,135222.8456,11.0,0.2595117970697999,0.9657399376548549,-0.7071067811865479,-0.7071067811865471,89008.16171666667,116503.94924804954
8.28,193.8,289406.4555,109006.6041,124247.2957,11.0,0.2595117970697999,0.9657399376548549,-0.5000000000000004,-0.8660254037844385,87145.57255,114463.84544374296
8.75,37.38,285370.957,96094.97917,126892.53,11.0,0.2595117970697999,0.9657399376548549,-0.25881904510252063,-0.9659258262890683,84735.93269500001,112864.05463854021
9.36,0.0,285579.2991,108125.798,127443.4391,10.0,0.2595117970697999,0.9657399376548549,-1.8369701987210297e-16,-1.0,86861.31603333334,113330.68894749861
9.83,0.0,272414.9708,98908.46281,122737.6383,10.0,0.2595117970697999,0.9657399376548549,0.2588190451025203,-0.9659258262890684,82346.816985,108047.52544887461
9.97,0.0,277511.4321,84081.98751,112493.2936,10.0,0.2595117970697999,0.9657399376548549,0.5000000000000001,-0.8660254037844386,79017.78053499998,108879.98808792813
9.71,0.0,268427.9403,82522.34073,108073.1623,9.0,0.2595117970697999,0.9657399376548549,0.7071067811865474,-0.7071067811865477,76507.025555,105283.76387879024
9.53,0.0,254872.5628,87267.16015,117008.9988,9.0,0.2595117970697999,0.9657399376548549,0.8660254037844384,-0.5000000000000004,76527.87529166667,101121.30566892785
9.35,0.0,249982.9877,93137.93086,111581.51,9.0,0.2595117970697999,0.9657399376548549,0.9659258262890681,-0.25881904510252157,75786.79642666667,99151.16819372427
9.21,0.0,241544.407,74660.95353,107885.8774,9.0,0.2428497220959356,0.9700639218515071,1.0,0.0,70684.90798833333,95476.89138138872
9.12,0.0,253491.2754,92044.53437,120555.1049,9.0,0.2428497220959356,0.9700639218515071,0.9659258262890683,0.25881904510252074,77684.83911166666,101048.45483835955
8.98,0.0,234318.3778,71273.84029,105328.5719,9.0,0.2428497220959356,0.9700639218515071,0.8660254037844387,0.49999999999999994,68489.79499833332,92665.05122338138
8.81,0.0,233680.8007,91626.08946,112029.5287,9.0,0.2428497220959356,0.9700639218515071,0.7071067811865476,0.7071067811865476,72892.37147666667,93458.95936498656
8.44,0.0,236587.7548,91229.44745,113137.219,9.0,0.2428497220959356,0.9700639218515071,0.5000000000000001,0.8660254037844386,73495.31020833334,94538.0817902605
7.92,0.0,242789.171,89927.19177,111687.8549,9.0,0.2428497220959356,0.9700639218515071,0.25881904510252074,0.9659258262890683,74070.18961166668,96529.06351534332
7.51,50.0,252464.3296,96793.64955,123660.4172,10.0,0.2428497220959356,0.9700639218515071,6.123233995736766e-17,1.0,78830.98439166667,101107.07705310114
7.19,239.0,270195.5093,87843.0841,118090.0503,10.0,0.2428497220959356,0.9700639218515071,-0.25881904510252063,0.9659258262890683,79397.47228333332,106624.18702409184
6.87,453.73,280287.3758,85249.33814,126020.2828,11.0,0.2428497220959356,0.9700639218515071,-0.4999999999999998,0.8660254037844387,82004.76612333332,110780.043690734
6.58,647.17,287089.4854,87458.56084,117617.2666,12.0,0.2428497220959356,0.9700639218515071,-0.7071067811865475,0.7071067811865476,82138.51047333334,112626.11019966393
6.3,786.95,279361.2945,106065.6242,131855.3461,13.0,0.2428497220959356,0.9700639218515071,-0.8660254037844387,0.49999999999999994,86348.0858,111304.2225325254
6.16,876.83,274865.3662,92400.43712,113952.789,13.0,0.2428497220959356,0.9700639218515071,-0.9659258262890682,0.258819045102521,80352.43038666666,108014.572221192
6.37,870.28,282950.5586,92169.20545,133557.7006,13.0,0.2428497220959356,0.9700639218515071,-1.0,1.2246467991473532e-16,84927.85244166666,112354.93519167713
6.72,792.53,282741.0394,94193.6194,127361.1852,13.0,0.2428497220959356,0.9700639218515071,-0.9659258262890683,-0.2588190451025208,84184.68233333333,111815.98157042394
6.93,650.22,284902.0369,88318.97464,120782.7319,12.0,0.2428497220959356,0.9700639218515071,-0.8660254037844388,-0.4999999999999997,82445.48224,112048.88037264234
7.05,458.12,290430.8041,109942.8651,120035.1509,12.0,0.2428497220959356,0.9700639218515071,-0.7071067811865479,-0.7071067811865471,86814.33168333334,114565.05921270164
6.91,237.8,284323.7098,113664.3568,127534.0552,11.0,0.2428497220959356,0.9700639218515071,-0.5000000000000004,-0.8660254037844385,87629.63863333334,113093.61477332446
6.69,45.72,285176.4814,97750.52257,122584.454,11.0,0.2428497220959356,0.9700639218515071,-0.25881904510252063,-0.9659258262890683,84262.47799500001,112522.66406177741
6.57,0.0,280247.9542,104280.1644,121416.3821,11.0,0.2428497220959356,0.9700639218515071,-1.8369701987210297e-16,-1.0,84327.01178333334,110895.3894705779
6.54,0.0,275657.5615,99500.18158,121579.518,11.0,0.2428497220959356,0.9700639218515071,0.2588190451025203,-0.9659258262890684,82792.46684666666,109125.06706355308
6.57,0.0,276231.634,83053.98803,127764.8959,11.0,0.2428497220959356,0.9700639218515071,0.5000000000000001,-0.8660254037844386,81178.014655,109532.21348857669
6.56,0.0,267890.5465,103724.2872,126040.336,11.0,0.2428497220959356,0.9700639218515071,0.7071067811865474,-0.7071067811865477,82945.45495,106892.98212798478
6.39,0.0,257090.5986,94050.32098,107272.4609,11.0,0.2428497220959356,0.9700639218515071,0.8660254037844384,-0.5000000000000004,76405.12841333334,101411.9893377245
6.4,0.0,247273.2725,86261.43121,104146.8296,11.0,0.2428497220959356,0.9700639218515071,0.9659258262890681,-0.25881904510252157,72949.82221833333,97469.59394070502
6.4,0.0,244872.9873,90082.43524,104610.7956,10.0,0.22611568550828828,0.9741004551724205,1.0,0.0,73263.76969,96763.17899891835
6.28,0.0,240182.7604,87481.64903,96655.17863,11.0,0.22611568550828828,0.9741004551724205,0.9659258262890683,0.25881904510252074,70722.81134333333,94522.72188313157
6.09,0.0,238994.3389,87014.86793,98359.78536,11.0,0.22611568550828828,0.9741004551724205,0.8660254037844387,0.49999999999999994,70731.01369833334,94177.7797662632
5.87,0.0,234480.5108,92873.50534,112907.3836,11.0,0.22611568550828828,0.9741004551724205,0.7071067811865476,0.7071067811865476,73379.71162333332,93858.59885858196
5.66,0.0,235215.6003,93243.34871,94619.89163,11.0,0.22611568550828828,0.9741004551724205,0.5000000000000001,0.8660254037844386,70515.91677333333,92885.58299106543
5.63,0.0,262014.037,93035.43446,126313.1729,11.0,0.22611568550828828,0.9741004551724205,0.25881904510252074,0.9659258262890683,80229.87906,104537.99738570389
5.32,47.25,258213.8855,93225.25343,114714.9712,11.0,0.22611568550828828,0.9741004551724205,6.123233995736766e-17,1.0,77702.94668833334,102272.57501116977
4.94,217.05,282872.4239,99589.91807,114251.9219,12.0,0.22611568550828828,0.9741004551724205,-0.25881904510252063,0.9659258262890683,82824.70897833334,111201.54173133279
4.76,418.67,293462.6439,105702.9968,143211.4026,12.0,0.22611568550828828,0.9741004551724205,-0.4999999999999998,0.8660254037844387,90468.74555,117213.96218439248
4.39,604.3,299997.1173,108097.702,134321.9078,14.0,0.22611568550828828,0.9741004551724205,-0.7071067811865475,0.7071067811865476,90506.56951666666,118808.66056035922
4.25,738.88,286330.7885,107955.6681,116955.6327,15.0,0.22611568550828828,0.9741004551724205,-0.8660254037844387,0.49999999999999994,85333.36988333335,112807.9862696331
4.2,809.03,280022.2739,104366.7482,115074.1756,15.0,0.22611568550828828,0.9741004551724205,-0.9659258262890682,0.258819045102521,83381.90461666665,110301.73214156879
3.96,806.42,291946.5758,91343.95672,134518.9472,15.0,0.22611568550828828,0.9741004551724205,-1.0,1.2246467991473532e-16,86439.14328666667,115621.94109035484
4.13,729.47,289452.2289,98853.60162,119266.5154,15.0,0.22611568550828828,0.9741004551724205,-0.9659258262890683,-0.2588190451025208,84720.15765333333,113766.98181439636
4.21,593.72,294098.8868,96269.15442,145148.3374,15.0,0.22611568550828828,0.9741004551724205,-0.8660254037844388,-0.4999999999999997,89354.88476999999,117409.13534502148
4.38,407.85,298997.9856,114935.7023,122894.9162,15.0,0.22611568550828828,0.9741004551724205,-0.7071067811865479,-0.7071067811865471,89542.63901666667,117988.16284462565
4.26,204.57,291738.7385,116180.9846,142784.467,14.0,0.22611568550828828,0.9741004551724205,-0.5000000000000004,-0.8660254037844385,91821.17001666669,116970.2485457954
3.49,39.35,296170.9509,104975.1145,146202.192,14.0,0.22611568550828828,0.9741004551724205,-0.25881904510252063,-0.9659258262890683,91234.18290000001,118465.21240171889
3.89,0.0,289592.433,102477.5967,126404.9508,13.0,0.22611568550828828,0.9741004551724205,-1.8369701987210297e-16,-1.0,86415.31175000001,114488.43628773322
4.73,0.0,285459.3848,100136.2318,119574.4624,13.0,0.22611568550828828,0.9741004551724205,0.2588190451025203,-0.9659258262890684,84197.96816666667,112495.85812708807
4.26,0.0,285262.5444,86790.46713,121130.4406,13.0,0.22611568550828828,0.9741004551724205,0.5000000000000001,-0.8660254037844386,82200.11868833333,112284.22077482376
4.21,0.0,272603.3393,87124.76746,125783.2649,13.0,0.22611568550828828,0.9741004551724205,0.7071067811865474,-0.7071067811865477,80921.43027666667,108106.49226569987
4.52,0.0,260302.7819,86860.31402,118208.2309,13.0,0.22611568550828828,0.9741004551724205,0.8660254037844384,-0.5000000000000004,77564.80780333333,103128.69823774743
3.59,0.0,251341.9838,89995.60007,108153.8638,13.0,0.22611568550828828,0.9741004551724205,0.9659258262890681,-0.25881904510252157,74918.00627833333,99290.49632357927
3.21,0.0,237781.5873,88310.44838,97788.40811,13.0,0.20931464596304847,0.9778483415056568,1.0,0.0,70649.44229833334,93758.55087359552
2.9,0.0,241191.0956,95696.03287,104359.4547,13.0,0.20931464596304847,0.9778483415056568,0.9659258262890683,0.25881904510252074,73543.747195,95676.19845874248
3.19,0.0,252956.5083,80420.85284,112688.4197,13.0,0.20931464596304847,0.9778483415056568,0.8660254037844387,0.49999999999999994,74346.99514,99988.33397793688
3.45,0.0,241598.0902,86657.9748,112765.1461,13.0,0.20931464596304847,0.9778483415056568,0.7071067811865476,0.7071067811865476,73506.27685000001,96100.13914921095
3.27,0.0,243755.2428,79248.74136,119086.2228,13.0,0.20931464596304847,0.9778483415056568,0.5000000000000001,0.8660254037844386,73684.41282666667,97264.7458007591
3.28,0.0,254485.611,87112.18515,119161.9601,13.0,0.20931464596304847,0.9778483415056568,0.25881904510252074,0.9659258262890683,76796.00604166667,101158.56133671867
3.42,39.45,259949.2314,95136.90347,116508.3737,14.0,0.20931464596304847,0.9778483415056568,6.123233995736766e-17,1.0,78608.563095,103075.6994275227
3.08,166.2,278699.1109,105153.1036,139332.8968,14.0,0.20931464596304847,0.9778483415056568,-0.25881904510252063,0.9659258262890683,87228.06521666667,111795.92246867537
2.64,346.23,287870.5878,97216.41549,143377.8772,14.0,0.20931464596304847,0.9778483415056568,-0.4999999999999998,0.8660254037844387,88137.958415,115124.31908872859
2.73,559.67,292345.8606,114473.1969,122235.8436,14.0,0.20931464596304847,0.9778483415056568,-0.7071067811865475,0.7071067811865476,88271.88351666667,115551.3542937048
2.74,706.9,279941.3872,105182.7262,126935.7797,15.0,0.20931464596304847,0.9778483415056568,-0.8660254037844387,0.49999999999999994,85464.08885000001,111102.75907350353
2.21,782.2,271195.3211,95197.00713,119666.8463,15.0,0.20931464596304847,0.9778483415056568,-0.9659258262890682,0.258819045102521,81143.09742166667,107168.02225296572
2.45,782.8,279237.4646,89176.43353,134886.405,15.0,0.20931464596304847,0.9778483415056568,-1.0,1.2246467991473532e-16,84016.75885500001,111146.80254783577
2.63,712.15,280980.7587,98455.4126,137716.1881,15.0,0.20931464596304847,0.9778483415056568,-0.9659258262890683,-0.2588190451025208,86313.6899,112169.15128436843
1.94,575.6,285154.0153,112515.3425,128162.0496,16.0,0.20931464596304847,0.9778483415056568,-0.8660254037844388,-0.4999999999999997,87737.49123333335,113323.5660089162
1.62,391.38,290233.4821,97575.9226,141850.1327,16.0,0.20931464596304847,0.9778483415056568,-0.7071067811865479,-0.7071067811865471,88344.75623333333,115801.01265835814
1.56,192.6,283881.5516,88277.74408,123002.5997,16.0,0.20931464596304847,0.9778483415056568,-0.5000000000000004,-0.8660254037844385,82562.00923000001,111903.94105326393
1.61,37.3,289836.3266,94723.0817,120085.4326,16.0,0.20931464596304847,0.9778483415056568,-0.25881904510252063,-0.9659258262890683,84116.62514999999,113968.79523499781
2.1,0.0,283484.1119,95264.12559,114540.9916,16.0,0.20931464596304847,0.9778483415056568,-1.8369701987210297e-16,-1.0,82217.88818166667,111354.79111287672
2.61,0.0,280726.9541,106529.9428,133279.182,15.0,0.20931464596304847,0.9778483415056568,0.2588190451025203,-0.9659258262890684,86758.94815,112032.94297042247
2.78,0.0,278609.1193,104659.137,120921.7848,16.0,0.20931464596304847,0.9778483415056568,0.5000000000000001,-0.8660254037844386,84034.80351666668,110297.38474247127
2.5,0.0,278459.4362,108275.1812,137240.2175,15.0,0.20931464596304847,0.9778483415056568,0.7071067811865474,-0.7071067811865477,87332.05581666667,111657.26323389779
2.05,0.0,248441.7583,91907.16253,110649.4843,15.0,0.20931464596304847,0.9778483415056568,0.8660254037844384,-0.5000000000000004,75169.24252166667,98499.79925754474
2.37,0.0,239795.8084,87107.75365,116075.3898,15.0,0.20931464596304847,0.9778483415056568,0.9659258262890681,-0.25881904510252157,73832.72030833333,95766.03081596938
2.33,0.0,238226.3184,92095.51875,105988.4081,15.0,0.19245158197082998,0.9813064702716093,1.0,0.0,72721.26254166667,94590.28922709428
2.12,0.0,234943.9614,83181.83116,103659.7591,14.0,0.19245158197082998,0.9813064702716093,0.9659258262890683,0.25881904510252074,70300.27861,92962.84511003106
1.84,0.0,233338.9315,89896.52332,106849.9872,14.0,0.19245158197082998,0.9813064702716093,0.8660254037844387,0.49999999999999994,71683.54700333334,92859.22286637571
1.27,0.0,231490.3911,71611.9118,102426.4664,14.0,0.19245158197082998,0.9813064702716093,0.7071067811865476,0.7071067811865476,67590.67321666668,91428.9381594163
0.66,0.0,238307.1937,81497.44784,113890.9039,14.0,0.19245158197082998,0.9813064702716093,0.5000000000000001,0.8660254037844386,72285.03424000001,94923.68904623298
1.11,0.0,252308.3137,98341.25481,101194.9491,14.0,0.19245158197082998,0.9813064702716093,0.25881904510252074,0.9659258262890683,75309.937935,99540.32848015455
1.36,38.6,263203.2592,93087.97281,122976.2853,15.0,0.19245158197082998,0.9813064702716093,6.123233995736766e-17,1.0,79887.07955166667,104664.05488285686
1.3,160.95,279340.4488,102824.7534,139280.574,16.0,0.19245158197082998,0.9813064702716093,-0.25881904510252063,0.9659258262890683,86937.33769999999,111941.51739701867
1.14,329.42,291330.5072,101527.7659,141578.2775,16.0,0.19245158197082998,0.9813064702716093,-0.4999999999999998,0.8660254037844387,89130.51843333333,116241.449760048
1.57,498.6,298851.518,103139.8813,137315.1679,17.0,0.19245158197082998,0.9813064702716093,-0.7071067811865475,0.7071067811865476,89970.62286666666,118522.14247153712
1.57,634.45,283076.3866,84948.30472,127407.4737,17.0,0.19245158197082998,0.9813064702716093,-0.8660254037844387,0.49999999999999994,82680.86417000002,111861.3163688058
1.3,711.05,275335.1838,91771.18457,134586.1527,18.0,0.19245158197082998,0.9813064702716093,-0.9659258262890682,0.258819045102521,83737.14517833333,109794.2578427828
1.11,716.47,284753.08,92854.44886,132708.0514,18.0,0.19245158197082998,0.9813064702716093,-1.0,1.2246467991473532e-16,85175.19337666668,112950.71881395303
0.97,649.28,287213.1727,103962.2967,133729.8036,18.0,0.19245158197082998,0.9813064702716093,-0.9659258262890683,-0.2588190451025208,87595.58716666668,114145.28165583905
1.52,521.22,288473.3411,97970.9347,123345.7523,17.0,0.19245158197082998,0.9813064702716093,-0.8660254037844388,-0.4999999999999997,85054.96135,113686.88617597055
2.13,349.27,292439.317,106973.0738,142170.941,16.0,0.19245158197082998,0.9813064702716093,-0.7071067811865479,-0.7071067811865471,90325.12196666666,116811.75061677893
2.37,171.43,285277.574,87327.24207,121708.1497,16.0,0.19245158197082998,0.9813064702716093,-0.5000000000000004,-0.8660254037844385,82417.12762833333,112309.16901937022
2.23,34.78,295321.8096,99709.69995,133750.246,16.0,0.19245158197082998,0.9813064702716093,-0.25881904510252063,-0.9659258262890683,88139.12759166666,116991.52994084565
2.05,0.0,285916.5826,88171.1456,122524.261,16.0,0.19245158197082998,0.9813064702716093,-1.8369701987210297e-16,-1.0,82771.6732,112630.13682839248
2.03,0.0,281277.2834,98151.67254,138685.56,16.0,0.19245158197082998,0.9813064702716093,0.2588190451025203,-0.9659258262890684,86355.42432333334,112464.02974421653
2.21,0.0,284562.2387,106747.405,127811.4354,16.0,0.19245158197082998,0.9813064702716093,0.5000000000000001,-0.8660254037844386,86523.21485,112950.28924284055
2.38,0.0,272215.883,86798.63063,119159.6341,15.0,0.19245158197082998,0.9813064702716093,0.7071067811865474,-0.7071067811865477,79698.587955,107446.09656390306
2.21,0.0,257292.8859,80966.33501,105508.9081,15.0,0.19245158197082998,0.9813064702716093,0.8660254037844384,-0.5000000000000004,73964.22316833334,101057.47731332917
1.87,0.0,257940.9745,87078.48551,122667.9042,14.0,0.19245158197082998,0.9813064702716093,0.9659258262890681,-0.25881904510252157,77950.53903500001,102670.25340375844
1.56,0.0,241645.1468,73897.69829,100543.4076,14.0,0.1755314904214282,0.9844738167520922,1.0,0.0,69350.30211500001,94979.40552999488
1.2,0.0,242580.1224,83201.59624,104531.735,14.0,0.1755314904214282,0.9844738167520922,0.9659258262890683,0.25881904510252074,71721.44227333333,95739.97444059684
1.27,0.0,239573.3582,72910.59147,114955.8078,14.0,0.1755314904214282,0.9844738167520922,0.8660254037844387,0.49999999999999994,71242.50457833333,95365.84241826956
1.79,0.0,239213.856,92736.07277,115103.6461,14.0,0.1755314904214282,0.9844738167520922,0.7071067811865476,0.7071067811865476,74511.56081166667,95666.35926214127
